x,y,layer1,layer2,voltage1,voltage2,current
1878.43,1330.23,TOP_LAYER,LAYER_1,0.0364645,0.0364724,-0.0600269
1878.43,1330.23,LAYER_1,LAYER_2,0.0364724,0.0365071,-0.0482149
1878.43,1330.23,LAYER_2,BOTTOM_LAYER,0.0365071,0.0365134,-0.0482149
1875.65,1372.39,TOP_LAYER,LAYER_1,0.0364206,0.0364421,-0.107952
1875.65,1372.39,LAYER_1,LAYER_2,0.0364421,0.0365014,-0.0540132
1875.65,1372.39,LAYER_2,BOTTOM_LAYER,0.0365014,0.0365122,-0.0540132
1917.8,1330.23,TOP_LAYER,LAYER_1,0.0365048,0.0365143,-0.0724048
1917.8,1330.23,LAYER_1,LAYER_2,0.0365143,0.0365373,-0.0318948
1917.8,1330.23,LAYER_2,BOTTOM_LAYER,0.0365373,0.0365415,-0.0318948
1915.02,1372.39,TOP_LAYER,LAYER_1,0.0365054,0.0365059,-0.00264211
1915.02,1372.39,LAYER_1,LAYER_2,0.0365059,0.0365334,-0.0250367
1915.02,1372.39,LAYER_2,BOTTOM_LAYER,0.0365334,0.0365384,-0.0250367
1944.54,1401.91,TOP_LAYER,LAYER_1,0.0365054,0.0365257,-0.101657
1944.54,1401.91,LAYER_1,LAYER_2,0.0365257,0.0365706,-0.0409214
1944.54,1401.91,LAYER_2,BOTTOM_LAYER,0.0365706,0.0365787,-0.0409214
1944.54,1460.97,TOP_LAYER,LAYER_1,0.0364927,0.0365216,-0.144795
1944.54,1460.97,LAYER_1,LAYER_2,0.0365216,0.0365758,-0.0494332
1944.54,1460.97,LAYER_2,BOTTOM_LAYER,0.0365758,0.0365856,-0.0491011
2016.23,1408.97,TOP_LAYER,LAYER_1,0.0367285,0.0367215,0.0533401
2016.23,1408.97,LAYER_1,LAYER_2,0.0367215,0.0366931,0.0394715
2016.23,1408.97,LAYER_2,BOTTOM_LAYER,0.0366931,0.0366879,0.0394715
2052.81,1372.39,TOP_LAYER,LAYER_1,0.0369392,0.0368765,0.314688
2052.81,1372.39,LAYER_1,LAYER_2,0.0368765,0.036759,0.107018
2052.81,1372.39,LAYER_2,BOTTOM_LAYER,0.036759,0.0367377,0.107018
2055.6,1408.97,TOP_LAYER,LAYER_1,0.0368018,0.0367911,0.0818839
2055.6,1408.97,LAYER_1,LAYER_2,0.0367911,0.0367386,0.0728412
2055.6,1408.97,LAYER_2,BOTTOM_LAYER,0.0367386,0.0367291,0.0728412
2092.18,1372.39,TOP_LAYER,LAYER_1,0.036997,0.0369226,0.373127
2092.18,1372.39,LAYER_1,LAYER_2,0.0369226,0.0367886,0.122142
2092.18,1372.39,LAYER_2,BOTTOM_LAYER,0.0367886,0.0367642,0.122142
2094.97,1408.97,TOP_LAYER,LAYER_1,0.0368549,0.0368432,0.0897549
2094.97,1408.97,LAYER_1,LAYER_2,0.0368432,0.0367757,0.0936984
2094.97,1408.97,LAYER_2,BOTTOM_LAYER,0.0367757,0.0367634,0.0936984
2131.55,1372.39,TOP_LAYER,LAYER_1,0.0369731,0.0369375,0.178579
2131.55,1372.39,LAYER_1,LAYER_2,0.0369375,0.0368315,0.0965772
2131.55,1372.39,LAYER_2,BOTTOM_LAYER,0.0368315,0.0368123,0.0965772
2186.67,1372.39,TOP_LAYER,LAYER_1,89.1941,89.1941,-0
2186.67,1372.39,LAYER_1,LAYER_2,89.1941,89.1941,-1.29516e-11
2186.67,1372.39,LAYER_2,BOTTOM_LAYER,89.1941,89.1941,-7.12988e-11
2190.61,909.787,TOP_LAYER,LAYER_1,0.0366366,0.0366355,0.00563657
2190.61,909.787,LAYER_1,LAYER_2,0.0366355,0.0366366,-0.00103914
2190.61,909.787,LAYER_2,BOTTOM_LAYER,0.0366366,0.0366368,-0.00103914
2190.61,949.157,TOP_LAYER,LAYER_1,0.036638,0.0366376,0.00230242
2190.61,949.157,LAYER_1,LAYER_2,0.0366376,0.0366384,-0.000788567
2190.61,949.157,LAYER_2,BOTTOM_LAYER,0.0366384,0.0366386,-0.000788567
2190.61,988.527,TOP_LAYER,LAYER_1,0.0366402,0.0366399,0.0015355
2190.61,988.527,LAYER_1,LAYER_2,0.0366399,0.0366403,-0.000420068
2190.61,988.527,LAYER_2,BOTTOM_LAYER,0.0366403,0.0366404,-0.000420068
2190.61,1027.9,TOP_LAYER,LAYER_1,0.0366426,0.0366428,-0.000814185
2190.61,1027.9,LAYER_1,LAYER_2,0.0366428,0.0366423,0.000454207
2190.61,1027.9,LAYER_2,BOTTOM_LAYER,0.0366423,0.0366422,0.000454207
2229.98,870.417,TOP_LAYER,LAYER_1,0.0366357,0.0366346,0.00550245
2229.98,870.417,LAYER_1,LAYER_2,0.0366346,0.0366353,-0.000645476
2229.98,870.417,LAYER_2,BOTTOM_LAYER,0.0366353,0.0366355,-0.000645476
2229.98,909.787,TOP_LAYER,LAYER_1,0.0366366,0.0366367,-0.000236082
2229.98,909.787,LAYER_1,LAYER_2,0.0366367,0.0366372,-0.000432502
2229.98,909.787,LAYER_2,BOTTOM_LAYER,0.0366372,0.0366372,-0.000432502
2229.98,949.157,TOP_LAYER,LAYER_1,0.0366388,0.0366388,4.0103e-05
2229.98,949.157,LAYER_1,LAYER_2,0.0366388,0.036639,-0.000249311
2229.98,949.157,LAYER_2,BOTTOM_LAYER,0.036639,0.0366391,-0.000249311
2229.98,988.527,TOP_LAYER,LAYER_1,0.0366409,0.036641,-9.69394e-05
2229.98,988.527,LAYER_1,LAYER_2,0.036641,0.036641,-5.93512e-05
2229.98,988.527,LAYER_2,BOTTOM_LAYER,0.036641,0.036641,-5.93512e-05
2229.98,1027.9,TOP_LAYER,LAYER_1,0.0366431,0.0366435,-0.00212271
2229.98,1027.9,LAYER_1,LAYER_2,0.0366435,0.036643,0.000413876
2229.98,1027.9,LAYER_2,BOTTOM_LAYER,0.036643,0.036643,0.000413876
2269.35,870.417,TOP_LAYER,LAYER_1,0.0366357,0.0366352,0.00253306
2269.35,870.417,LAYER_1,LAYER_2,0.0366352,0.0366358,-0.000475343
2269.35,870.417,LAYER_2,BOTTOM_LAYER,0.0366358,0.0366358,-0.000475343
2269.35,909.787,TOP_LAYER,LAYER_1,0.0366376,0.0366375,0.000245291
2269.35,909.787,LAYER_1,LAYER_2,0.0366375,0.0366377,-0.000169329
2269.35,909.787,LAYER_2,BOTTOM_LAYER,0.0366377,0.0366378,-0.000169329
2269.35,949.157,TOP_LAYER,LAYER_1,0.0366396,0.0366396,3.58015e-06
2269.35,949.157,LAYER_1,LAYER_2,0.0366396,0.0366397,-9.06475e-05
2269.35,949.157,LAYER_2,BOTTOM_LAYER,0.0366397,0.0366397,-9.06475e-05
2269.35,1027.9,TOP_LAYER,LAYER_1,0.0366438,0.0366441,-0.00141013
2269.35,1027.9,LAYER_1,LAYER_2,0.0366441,0.0366438,0.000285236
2269.35,1027.9,LAYER_2,BOTTOM_LAYER,0.0366438,0.0366437,0.000285236
2279.19,1667.66,TOP_LAYER,LAYER_1,89.1941,89.1941,4.99092e-10
2279.19,1667.66,LAYER_1,LAYER_2,89.1941,89.1941,4.27404e-10
2279.19,1667.66,LAYER_2,BOTTOM_LAYER,89.1941,89.1941,3.56494e-10
2281.15,1451.12,TOP_LAYER,LAYER_1,89.0905,89.0905,-2.85195e-10
2281.15,1451.12,LAYER_1,LAYER_2,89.0905,89.0905,-2.84936e-10
2281.15,1451.12,LAYER_2,BOTTOM_LAYER,89.0905,89.0905,-1.42598e-10
2289.03,1283.8,TOP_LAYER,LAYER_1,0.0366672,0.0366679,-0.00348309
2289.03,1283.8,LAYER_1,LAYER_2,0.0366679,0.0366668,0.000941423
2289.03,1283.8,LAYER_2,BOTTOM_LAYER,0.0366668,0.0366667,0.000941423
2289.03,1766.09,TOP_LAYER,LAYER_1,0.0366278,0.0366278,-0
2289.03,1766.09,LAYER_1,LAYER_2,0.0366278,0.0366294,-0.00149844
2289.03,1766.09,LAYER_2,BOTTOM_LAYER,0.0366294,0.0366297,-0.00149844
2308.72,909.787,TOP_LAYER,LAYER_1,0.0366385,0.0366382,0.00186911
2308.72,909.787,LAYER_1,LAYER_2,0.0366382,0.0366383,-0.000133987
