Circuit: * C:\GitHub\MarkHarris\sim\LT3756-2_boost160w_seoul_with_pwm.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0235664 to 0.0235664
Heightened Def Con from 0.0235738 to 0.0235738
Heightened Def Con from 0.0235811 to 0.0235812
Heightened Def Con from 0.0235921 to 0.0235922
Heightened Def Con from 0.0235958 to 0.0235958
Heightened Def Con from 0.0235995 to 0.0235995
Heightened Def Con from 0.0236032 to 0.0236032
Heightened Def Con from 0.0236252 to 0.0236252
Heightened Def Con from 0.0236289 to 0.0236289
Heightened Def Con from 0.0236362 to 0.0236362
Heightened Def Con from 0.0236399 to 0.0236399
Heightened Def Con from 0.0236471 to 0.0236471
Heightened Def Con from 0.0236508 to 0.0236508
Heightened Def Con from 0.0236545 to 0.0236545
Heightened Def Con from 0.0236692 to 0.0236692
Heightened Def Con from 0.0236765 to 0.0236765
Heightened Def Con from 0.0236839 to 0.0236839
Heightened Def Con from 0.0236949 to 0.0236949
Heightened Def Con from 0.0236986 to 0.0236986
Heightened Def Con from 0.0237022 to 0.0237022
Heightened Def Con from 0.0237352 to 0.0237352
Heightened Def Con from 0.0237388 to 0.0237388
Heightened Def Con from 0.0237425 to 0.0237425
Heightened Def Con from 0.0240113 to 0.0240113
Heightened Def Con from 0.0240701 to 0.0240701
Heightened Def Con from 0.0241031 to 0.0241031
Heightened Def Con from 0.0241361 to 0.0241361
Heightened Def Con from 0.0241617 to 0.0241617
Heightened Def Con from 0.0242094 to 0.0242094
Heightened Def Con from 0.0242204 to 0.0242204
Heightened Def Con from 0.0242387 to 0.0242387
Heightened Def Con from 0.0245737 to 0.0245737
Heightened Def Con from 0.0245994 to 0.0245994
Heightened Def Con from 0.0246104 to 0.0246104
Heightened Def Con from 0.0246251 to 0.0246251
Heightened Def Con from 0.024647 to 0.024647
Heightened Def Con from 0.0246837 to 0.0246837
Heightened Def Con from 0.0247277 to 0.0247277
Heightened Def Con from 0.0250956 to 0.0250956
Heightened Def Con from 0.025158 to 0.025158
Heightened Def Con from 0.0255993 to 0.0255993
Heightened Def Con from 0.025603 to 0.025603
Heightened Def Con from 0.0260552 to 0.0260552
Heightened Def Con from 0.0260844 to 0.0260844
Heightened Def Con from 0.0260954 to 0.0260954
Heightened Def Con from 0.0262346 to 0.0262346
Heightened Def Con from 0.026504 to 0.026504
Heightened Def Con from 0.0265406 to 0.0265406
Heightened Def Con from 0.0265442 to 0.0265442
Heightened Def Con from 0.0270296 to 0.0270296
Heightened Def Con from 0.0270698 to 0.0270698
Heightened Def Con from 0.0270954 to 0.0270954
Heightened Def Con from 0.0272236 to 0.0272236
Heightened Def Con from 0.0276246 to 0.0276246
Heightened Def Con from 0.0280442 to 0.0280442
Heightened Def Con from 0.0280697 to 0.0280697
Heightened Def Con from 0.0280843 to 0.0280843
Heightened Def Con from 0.0281392 to 0.0281392
Heightened Def Con from 0.0285442 to 0.0285442
Heightened Def Con from 0.0285769 to 0.0285769
Heightened Def Con from 0.0285842 to 0.0285842
Heightened Def Con from 0.0290187 to 0.0290187
Heightened Def Con from 0.0290405 to 0.0290405
Heightened Def Con from 0.0291391 to 0.0291391
Heightened Def Con from 0.0292048 to 0.0292048
Heightened Def Con from 0.0296136 to 0.0296136
Heightened Def Con from 0.0296173 to 0.0296173
Heightened Def Con from 0.0296721 to 0.0296721
Heightened Def Con from 0.0296904 to 0.0296904
Heightened Def Con from 0.0297013 to 0.0297013
Heightened Def Con from 0.0297269 to 0.0297269

Date: Thu Dec 19 14:14:43 2019
Total elapsed time: 83.988 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 6229503
traniter = 6229471
tranpoints = 1689091
accept = 1263562
rejected = 425889
matrix size = 76
fillins = 46
solver = Normal
Matrix Compiler1: 7.46 KB object code size  1.4/0.7/[0.4]
Matrix Compiler2: 6.71 KB object code size  0.6/0.8/[0.4]

